molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4852855,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,active,600.7570000000002,3.150100000000003,4.0,7.0,8.045757490560675
CHEMBL3559293,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,inactive,485.5590000000002,0.544700000000002,5.0,7.0,7.508638306165727
CHEMBL4868590,CC(C)(C)C(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,inactive,504.6720000000005,1.7758000000000016,3.0,5.0,5.384049948343599
CHEMBL92708,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,inactive,362.4700000000001,3.2014000000000014,2.0,4.0,4.971022294791222
CHEMBL3559293,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,inactive,485.5590000000002,0.544700000000002,5.0,7.0,7.522878745280337
CHEMBL4518490,CCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,inactive,461.60300000000024,3.342200000000001,3.0,5.0,5.503070351926785
CHEMBL64925,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,inactive,475.6300000000002,3.5882000000000014,3.0,5.0,5.4089353929735005
CHEMBL92708,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,inactive,362.4700000000001,3.2014000000000014,2.0,4.0,5.317854923626168
CHEMBL231813,CCC[C@H](NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@@H](NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,inactive,679.8629999999999,2.4459000000000035,4.0,8.0,4.940436582098732
CHEMBL4868572,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,inactive,715.8779999999999,-0.9673999999999907,7.0,10.0,4.0
CHEMBL4859153,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,inactive,744.8799999999998,-2.9962300000000006,10.0,11.0,4.0
CHEMBL4846937,CC[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H](C(C)(C)C)NC1=O,inactive,713.862,-1.0692999999999926,7.0,10.0,4.0
CHEMBL4873791,C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H]([C@@H](C)O)NC1=O,inactive,717.8060000000002,-3.7637999999999994,9.0,12.0,4.0
CHEMBL4871930,CC(C)C[C@@H]1NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC1=O,inactive,715.878,-0.9673999999999905,7.0,10.0,4.0
CHEMBL4855260,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O,inactive,703.823,-2.6310999999999938,8.0,11.0,4.0
CHEMBL4864163,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O,inactive,829.9819999999997,-2.5941000000000036,9.0,12.0,4.0
CHEMBL4867088,CC[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H](C(C)(C)C)NC1=O,inactive,856.0199999999996,-2.0599,9.0,12.0,4.0
CHEMBL4872397,CC[C@@H]1NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC2CC2)NC(=O)[C@H](C(C)(C)C)NC1=O,inactive,800.9399999999999,-2.5921999999999974,9.0,12.0,4.0
CHEMBL4851348,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCC(N)=O)NC1=O,inactive,901.0609999999997,-3.0894000000000075,10.0,13.0,4.0
CHEMBL4851196,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O,inactive,845.9809999999998,-3.621700000000005,10.0,13.0,4.0
CHEMBL4876522,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O,inactive,716.8620000000001,-0.3680999999999905,7.0,10.0,4.0
CHEMBL4858748,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O,inactive,745.8639999999999,-2.3969299999999967,10.0,11.0,4.0
CHEMBL4848940,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC1=O,inactive,815.9549999999998,-2.984200000000005,9.0,12.0,4.0
CHEMBL4847752,NCCCC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC1=O,active,766.8819999999998,-2.961499999999992,9.0,12.0,4.0
CHEMBL4873945,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CSC(=N2)c2cc(ccn2)C[C@@H](C(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC1=O,active,1451.6779999999999,-7.578129999999991,21.0,22.0,4.0
CHEMBL4846266,CC[C@@H]1NC(=O)[C@@H](N)CCNC(=O)[C@@H]2CSC(=N2)c2cccc(n2)C2=N[C@@H](CS2)C(=O)NCCCC[C@@H](C(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)(C)C)NC1=O,active,986.2359999999995,-1.3836999999999993,10.0,15.0,4.0
CHEMBL4877763,CC[C@H](N)C(=O)N[C@H](C(=O)N[C@@H](CC1CC1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1ccnc(C#N)c1)C(N)=O)C(C)(C)C,active,627.7470000000001,-1.2307199999999934,7.0,9.0,4.0
CHEMBL4877806,CC[C@H](NC(C)=O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(N)=O)C(C)(C)C,inactive,498.6250000000004,-0.8014999999999939,6.0,6.0,4.0
CHEMBL4873357,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H]1CSCN1)C(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccnc(C#N)c1)C(N)=O,inactive,859.0239999999997,-2.9355200000000083,10.0,13.0,4.0
CHEMBL4854844,O=C(CSc1c[nH]c2ccccc12)NCc1ccccc1,inactive,296.39500000000004,3.5764000000000022,2.0,2.0,5.166852888087215
CHEMBL4855167,CN(C)CCOc1ccc(CNC(=O)CSc2c[nH]c3ccccc23)cc1,inactive,383.517,3.5168000000000017,2.0,4.0,5.041914151478915
CHEMBL4874978,O=C(CSc1c[nH]c2ccc(Br)cc12)NCc1ccc(Cl)c(Cl)c1,inactive,444.18100000000015,5.645700000000002,2.0,2.0,5.0101054362812265
CHEMBL4869436,O=C(CSc1c[nH]c2cccc(Br)c12)N(Cc1ccccc1)Cc1ccccc1,active,465.4160000000002,6.251500000000005,1.0,2.0,5.424812155072339
CHEMBL4870398,O=C(CSc1c[nH]c2ccccc12)N(Cc1ccccc1)Cc1ccccc1,active,386.5200000000001,5.489000000000004,1.0,2.0,5.396855627379818
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,active,602.5850000000002,2.3121799999999997,4.0,13.0,5.507239610973162
CHEMBL4845924,COc1ccccc1CNC(=O)CSc1c[nH]c2c(-c3ccccc3)cccc12,active,402.5190000000001,5.252000000000003,2.0,3.0,5.661543506395395
